year,Adjusted Net National Income per Capita (current US$),Employment in Agriculture (% of total employment),Employment in Industry (% of total employment),Employment in Services (% of total employment),Employment to Population Ratio (%),GDP per Capita (current US$),GDP per Capita Growth (annual %),GINI Index (World Bank estimate),"Labor Force, Total",Population Growth (annual %),Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Poverty Headcount Ratio at National Poverty Lines (% of population),Rural Population,Self-employed (% of total employment),Total Population,Unemployment Rate (%),Urban Population,Vulnerable Employment (% of total employment),Wage and Salaried Workers (% of total employment)
2010,749.617087690298,47.5925482341612,19.6659443987482,32.7415073670905,56.597,757.385280361508,4.65046297355514,32.1,58796583.0,0.876530534249878,34.0504147772873,61.7403305619908,4.20925466072201,,110003316.0,62.3377918192947,152201981.0,3.379,42198665.0,62.1114634809614,37.6622117012158
2011,826.613898000825,46.7735957702428,20.0336837102759,33.1927100053692,55.941,837.336944695647,5.501503282369,,59281113.0,0.908525895582217,33.5821917595726,62.0740346987153,4.34377354171206,,110416600.0,62.0991658575618,153591076.0,3.737,43174476.0,61.2768062357384,37.9008376471426
2012,853.69080005025,45.9180677941619,20.4330171201156,33.6489046386861,55.3,859.680536375497,5.50548020192592,,59869794.0,0.958355912717609,33.0265015658096,62.4844425603217,4.48905587386876,,110908001.0,61.8560248177031,155070101.0,4.07,44162100.0,60.4298109620797,38.1439786646426
2013,949.520478634602,45.0991832486723,20.7888945857964,34.1119221655313,54.649,958.262989798283,5.02341839695075,,60484221.0,0.938408350120779,32.4236999110096,62.9494570158261,4.62684307316426,,111387170.0,61.6191657687968,156532141.0,4.426,45144971.0,59.5723857040062,38.3808359610919
2014,1068.92849745579,44.4046216094801,20.5366959894489,35.0586926571988,54.308,1094.46199702838,5.09905460197942,,61204476.0,0.911167733810249,31.8063072462316,63.4371252223876,4.75656753138087,,111847946.0,61.3896169979304,157964929.0,4.417,46116983.0,58.7487925119881,38.6103830020695
2015,1194.18010735624,43.542342342038,20.4796085575501,35.9780592358065,53.972,1224.38647668165,5.60449539732434,,61920877.0,0.89381937776758,31.1823407663365,63.9150578117155,4.90260142194805,,112302169.0,61.1461867066605,159383179.0,4.397,47081010.0,57.902961981056,38.8538132933395
2016,1580.77341984739,42.6647464152912,20.4595245408049,36.8757190279881,53.65,1649.28380858601,6.16181560014782,32.4,62629015.0,0.892432416039535,30.5660498794143,64.3617117778247,5.07223834276104,,112768738.0,60.9023559488776,160811932.0,4.35,48043194.0,57.0356746745533,39.0976407124836
2017,1712.10431001292,40.5973044110147,20.4193241705984,38.9833714183869,55.778,1811.08221668646,5.68710307010265,,66147765.0,0.850917315689336,30.0763108025382,64.6648001467869,5.25888905067487,,113203368.0,60.6569011830301,162186147.0,4.372,48982779.0,56.1806275900299,39.3430972360868
2018,1869.93574257226,40.7657978851531,20.0532607831866,39.180939785584,56.3,1965.24372731467,6.44197494702485,,67683856.0,0.820955197842845,29.7445382083272,64.7973177686173,5.45814402305543,,113619833.0,60.6330406208968,163523103.0,4.439,49903270.0,56.2930050778402,39.3669624712557
2019,2186.77189399317,40.84013231722,19.8048029254686,39.355073841414,56.791,2129.79896954606,6.97264399779152,,69165404.0,0.84641125179804,29.4761618478294,64.8612797816401,5.66255837053046,,114082169.0,60.5904572387325,164913055.0,4.504,50830886.0,56.3883787871261,39.4095382192166
2020,2305.85834488129,42.5476764075219,18.970086947415,38.482235139488,56.459,2248.85078828233,2.58647816564581,,70314500.0,0.836310836229073,29.2584546885536,64.9064095313604,5.835135780086,,114551246.0,61.4694696018516,166298024.0,5.539,51746778.0,57.4001952008227,38.5305258814231
2021,2567.44432056871,43.4657157854774,18.2957657271552,38.2385272243361,57.751,2482.84917843357,6.07069417020969,,72637932.0,0.814977993693211,29.0745008042507,64.9516858651805,5.97381333056883,,115015289.0,61.656976495284,167658854.0,5.457,52643565.0,57.7138400623424,38.3430176800705
2022,,43.6687012820915,17.9688209597631,38.3624693337989,59.031,2716.48592780431,6.00847462887278,30.9,74651451.0,1.02423384746683,28.7700900252928,65.0947523228864,6.13515765182076,18.7,115734374.0,61.6373954529726,169384897.0,4.593,53650523.0,57.8403806625567,38.3626059510853
2023,,45.3663393707013,17.625867147727,37.0078031657165,58.845,2551.01773827307,4.4907040939439,,74789575.0,1.22171475464107,28.3608821732976,65.3185697725259,6.32054805417649,,116326899.0,61.8739430707616,171466990.0,3.352,55140091.0,58.1775397771731,38.1260527788908
2024,,44.7360340472385,17.8924001804483,37.3715657723132,56.762,2593.41611680774,2.96499837954917,,73619393.0,1.21462115417186,27.9889305379593,65.5126064657658,6.49846299627493,,116845100.0,61.4253013127452,173562364.0,3.635,56717264.0,57.7382491923305,38.5746986872547
