year,indicator_code,indicator_name,value
2005,SP.POP.GROW,Population Growth (annual %),1.2606651625389
2005,SP.POP.TOTL,Total Population,144715786.0
2005,SP.RUR.TOTL,Rural Population,107846612.0
2005,SP.URB.TOTL,Urban Population,36869174.0
2006,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),472.399016981675
2006,NY.GDP.PCAP.CD,GDP per Capita (current US$),490.388026533289
2006,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.44042881455881
2006,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),50.4857268527338
2006,SL.EMP.SELF.ZS,Self-employed (% of total employment),64.3531394997343
2006,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.986
2006,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),64.1843947113788
2006,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),35.6468586112188
2006,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),18.6372555412735
2006,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),30.877011938852
2006,SL.TLF.TOTL.IN,"Labor Force, Total",54908227.0
2006,SL.UEM.TOTL.ZS,Unemployment Rate (%),3.591
2006,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),35.4168352973658
2006,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),60.7813908631262
2006,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.80177383950799
2006,SP.POP.GROW,Population Growth (annual %),1.16116775095831
2006,SP.POP.TOTL,Total Population,146405973.0
2006,SP.RUR.TOTL,Rural Population,108416676.0
2006,SP.URB.TOTL,Urban Population,37989297.0
2007,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),523.447677871554
2007,NY.GDP.PCAP.CD,GDP per Capita (current US$),537.955492792911
2007,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.91320275589507
2007,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),49.7149098023194
2007,SL.EMP.SELF.ZS,Self-employed (% of total employment),63.869575118466
2007,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.861
2007,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),63.68530953012
2007,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),36.1304286095314
2007,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),18.9098240163507
2007,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),31.3752643173313
2007,SL.TLF.TOTL.IN,"Labor Force, Total",55892527.0
2007,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.015
2007,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),35.1043735749559
2007,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),61.008240407795
2007,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.88738601724917
2007,SP.POP.GROW,Population Growth (annual %),1.07564253185597
2007,SP.POP.TOTL,Total Population,147989278.0
2007,SP.RUR.TOTL,Rural Population,108897461.0
2007,SP.URB.TOTL,Urban Population,39091817.0
2008,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),605.30816884109
2008,NY.GDP.PCAP.CD,GDP per Capita (current US$),613.06204104124
2008,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),4.96057170242533
2008,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),48.9855434793339
2008,SL.EMP.SELF.ZS,Self-employed (% of total employment),63.3615083723008
2008,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.705
2008,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),63.1649650606653
2008,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),36.6384879440776
2008,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),19.1872302391746
2008,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),31.8272281233023
2008,SL.TLF.TOTL.IN,"Labor Force, Total",56846810.0
2008,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.49
2008,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),34.793277305561
2008,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),61.2236072332278
2008,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.98311546121115
2008,SP.POP.GROW,Population Growth (annual %),0.9984405660693
2008,SP.POP.TOTL,Total Population,149474264.0
