Year,Value,Indicator,Indicator_Code,Country
YR2007,6.51994522760569,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2007,1.62282630256016,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2007,0.425047394742913,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2007,88.2812216494338,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2007,1.85302001416775,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2007,1.6474481907418,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2007,0.620091522406624,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2007,0.829725050003075,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2007,2.78546647141467,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2007,0.541218307364255,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2007,1.26448964333798,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2007,91.7230304439018,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2007,12453000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2007,10421758509.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2007,8.16892271279397,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2008,1.53507157295862,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2008,22407295092.9576,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2008,16182047682.9643,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2008,4.81908048002957,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2008,1.41061914831305,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2008,0.435480466968654,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Bangladesh
YR2008,62063721.0,High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh
YR2008,0.326725359622683,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2008,91.9071307309129,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2008,2.16658836792222,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2008,2.36278707248343,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2008,1.05884312773642,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2008,0.860264382904796,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2008,3.58126675054204,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2008,0.660014509127408,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2008,1.49949973221924,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
