year,indicator_code,indicator_name,value
2020,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),383459686377.669
2020,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2320.0
2020,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",6920.0
2020,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",66.5239843670587
2020,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",29.9046264978568
2020,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),10.8
2020,SP.RUR.TOTL.ZS,Rural population (% of total population),68.8831072678476
2021,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),395.72014579444
2021,AG.LND.AGRI.K2,Agricultural land (sq. km),94180.0
2021,AG.LND.AGRI.ZS,Agricultural land (% of land area),72.3515402934624
2021,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),116.46
2021,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),121.59
2021,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),146.31
2021,AG.YLD.CREL.KG,Cereal yield (kg per hectare),4964.4
2021,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),286292630441.326
2021,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),1177.93400717848
2021,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",48424291473.762
2021,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",3.17457182173638
2021,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.6328584271282
2021,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),430454772495.358
2021,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2600.0
2021,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",7830.0
2021,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",69.318337483757
2021,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",29.2208702210884
2021,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),10.3
2021,SP.RUR.TOTL.ZS,Rural population (% of total population),68.6007843113939
2022,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),388.941232933807
2022,AG.LND.AGRI.K2,Agricultural land (sq. km),94270.0
2022,AG.LND.AGRI.ZS,Agricultural land (% of land area),72.3706433287272
2022,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),119.1
2022,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),125.2
2022,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),153.13
2022,AG.YLD.CREL.KG,Cereal yield (kg per hectare),5089.7
2022,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),317843355215.864
2022,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),1253.10179441914
2022,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",51615737117.6808
2022,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",3.05395055358133
2022,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.2176010351595
2022,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2850.0
2022,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",8790.0
2022,SI.DST.02ND.20,Income share held by second 20%,12.8
2022,SI.DST.03RD.20,Income share held by third 20%,16.5
2022,SI.DST.04TH.20,Income share held by fourth 20%,21.8
2022,SI.DST.05TH.20,Income share held by highest 20%,40.1
2022,SI.DST.10TH.10,Income share held by highest 10%,25.5
2022,SI.DST.FRST.10,Income share held by lowest 10%,3.7
2022,SI.DST.FRST.20,Income share held by lowest 20%,8.8
2022,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",70.8984530500263
2022,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",28.0610624217642
2022,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),10.6
2022,SP.RUR.TOTL.ZS,Rural population (% of total population),68.326265273766
