year,indicator_code,indicator_name,value
2015,NE.IMP.GNFS.CD,Imports of goods and services (current US$),48297463643.7965
2015,NY.GDP.MKTP.CD,GDP (current US$),195146608978.131
2015,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.55263987816197
2015,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",77.9469083333333
2016,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",931393867.987116
2016,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",32283838538.9037
2016,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",8.52279611186147
2016,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),7.86276813546215
2016,NE.EXP.GNFS.CD,Exports of goods and services (current US$),36922447162.046
2016,NE.IMP.GNFS.CD,Imports of goods and services (current US$),46183400773.3724
2016,NY.GDP.MKTP.CD,GDP (current US$),265224515675.034
2016,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.11347821270093
2016,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",78.4680916666666
2017,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-5984992475.63151
2017,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",33431482893.1712
2017,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",8.0712626971168
2017,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),7.63987436772557
2017,NE.EXP.GNFS.CD,Exports of goods and services (current US$),37655756192.841
2017,NE.IMP.GNFS.CD,Imports of goods and services (current US$),50463186692.0898
2017,NY.GDP.MKTP.CD,GDP (current US$),293732446624.596
2017,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.59024999794057
2017,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",80.4375416666666
2018,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-7095172568.14977
2018,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",32028383716.5949
